file,nullcatch,throwskitchen,finallywiththrow,nestedtry,getcause,genericcatch,abortincatch,throwngeneric,incompleteimpl,catchreturnnull
hadoop-common-project/hadoop-auth-examples/src/main/java/org/apache/hadoop/security/authentication/examples/WhoServlet.java,0,0,0,0,0,0,0,0,0,0
hadoop-common-project/hadoop-auth-examples/src/main/java/org/apache/hadoop/security/authentication/examples/WhoClient.java,0,0,0,0,0,0,1,0,0,0
hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3/S3InputStream.java,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3/S3Exception.java,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3/FileSystemStore.java,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3/INode.java,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3/MigrationTool.java,0,0,0,0,0,0,0,2,0,3
hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3/Block.java,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3/S3FileSystem.java,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3/S3FileSystemException.java,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3/S3FileSystemConfigKeys.java,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3/S3OutputStream.java,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3/Jets3tFileSystemStore.java,1,0,0,0,0,0,0,0,0,3
hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3/S3Credentials.java,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3/VersionMismatchException.java,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3a/Constants.java,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3a/S3AInputStream.java,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3a/AnonymousAWSCredentialsProvider.java,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3a/BasicAWSCredentialsProvider.java,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3a/S3AFileSystem.java,2,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3a/S3AFastOutputStream.java,0,0,0,0,1,0,0,2,0,0
hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3a/S3AFileStatus.java,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3a/S3AOutputStream.java,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3native/Jets3tNativeFileSystemStore.java,0,0,0,0,0,0,0,0,0,5
hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3native/PartialListing.java,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3native/NativeFileSystemStore.java,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3native/FileMetadata.java,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3native/NativeS3FileSystem.java,2,0,0,0,0,0,0,0,0,0
